tOAAm,xOAAm,yOAAm
18.07,-0.0350469,0.2955058
18.10,-0.0298231,0.2955058
18.17,-0.0228580,0.2955058
18.20,-0.0211167,0.2955058
18.23,-0.0193755,0.2955058
18.27,-0.0158929,0.2955058
18.30,-0.0106691,0.2955058
18.33,-0.0054453,0.2955058
18.37,-0.0019627,0.2955058
18.40,0.0032611,0.2955058
18.43,0.0119674,0.2955058
18.47,0.0154500,0.2955058
18.50,0.0241563,0.2955058
18.53,0.0258976,0.2955058
18.57,0.0311214,0.2955058
18.60,0.0311214,0.2955058
18.67,0.0398278,0.2937646
18.70,0.0398278,0.2937646
18.73,0.0363452,0.2937646
18.77,0.0328627,0.2937646
18.80,0.0293802,0.2937646
18.83,0.0224151,0.2937646
18.87,0.0154500,0.2937646
18.90,0.0102262,0.2937646
18.97,0.0032611,0.2937646
19.03,-0.0037040,0.2937646
19.07,-0.0158929,0.2937646
19.10,-0.0176342,0.2937646
19.13,-0.0228580,0.2937646
19.17,-0.0245993,0.2937646
19.20,-0.0263406,0.2937646
19.23,-0.0245993,0.2920233
19.30,-0.0333056,0.2920233
19.33,-0.0350469,0.2920233
19.37,-0.0507184,0.2920233
19.40,-0.0507184,0.2920233
19.43,-0.0420120,0.2920233
19.47,-0.0385295,0.2920233
19.50,-0.0367882,0.2920233
19.53,-0.0350469,0.2920233
19.57,-0.0315644,0.2920233
19.60,-0.0263406,0.2920233
19.63,-0.0211167,0.2920233
19.67,-0.0158929,0.2920233
19.70,-0.0158929,0.2920233
19.73,-0.0141517,0.2920233
19.77,-0.0106691,0.2920233
19.80,-0.0019627,0.2920233
19.83,0.0032611,0.2920233
19.87,0.0067436,0.2920233
19.90,0.0171913,0.2920233
19.93,0.0206738,0.2920233
19.97,0.0241563,0.2920233
20.00,0.0241563,0.2920233
20.03,0.0241563,0.2920233
20.07,0.0276389,0.2920233
20.10,0.0276389,0.2920233
20.13,0.0276389,0.2920233
20.17,0.0276389,0.2920233
20.20,0.0276389,0.2920233
20.23,0.0224151,0.2920233
20.27,0.0119674,0.2920233
20.30,0.0084849,0.2920233
20.33,0.0032611,0.2920233
20.37,0.0032611,0.2920233
20.40,-0.0019627,0.2920233
20.43,-0.0054453,0.2920233
20.47,-0.0158929,0.2920233
20.50,-0.0176342,0.2920233
20.53,-0.0176342,0.2920233
20.57,-0.0263406,0.2920233
20.63,-0.0280818,0.2920233
20.67,-0.0315644,0.2920233
20.70,-0.0350469,0.2920233
20.73,-0.0245993,0.2920233
20.77,-0.0350469,0.2920233
20.80,-0.0350469,0.2920233
20.83,-0.0350469,0.2920233
20.87,-0.0437533,0.2937646
20.90,-0.0437533,0.2937646
